country,state,city,name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Solar Noon At,Occurrence Type,Days Accumulated,Vis Rain Depth,Vis Snow Depth,Vis Total Liquid Equivalent,Snowfall Accumulation,Snowfall Accumulation Flag,Liquid Accumulation,Liquid Accumulation Flag,Ph,Ph Method
united states,oregon,new york,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,21/9/15 20:03,21/9/15 11:52,21/9/15 20:03,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,25/9/15 20:02,25/9/15 11:51,25/9/15 20:02,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,26/9/15 20:02,26/9/15 11:51,26/9/15 20:02,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,22/9/15 20:03,22/9/15 11:52,22/9/15 20:03,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,23/9/15 20:03,23/9/15 11:52,23/9/15 20:03,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,24/9/15 20:02,24/9/15 11:51,24/9/15 20:02,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,27/9/15 20:01,27/9/15 11:50,27/9/15 20:01,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,28/9/15 20:01,28/9/15 11:50,28/9/15 20:01,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,29/9/15 20:01,29/9/15 11:50,29/9/15 20:01,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,30/9/15 20:00,30/9/15 11:49,30/9/15 20:00,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,1/10/15 20:00,1/10/15 11:49,1/10/15 20:00,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,2/11/17 19:54,2/11/17 12:01,2/11/17 19:54,rain,1,1,,1,,,1,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,2/10/15 20:00,2/10/15 11:49,2/10/15 20:00,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,3/10/15 19:59,3/10/15 11:48,3/10/15 19:59,rain,1,0.26,,0.26,,,0.26,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,4/10/15 19:59,4/10/15 11:48,4/10/15 19:59,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,5/10/15 19:59,5/10/15 11:48,5/10/15 19:59,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,6/10/15 19:58,6/10/15 11:47,6/10/15 19:58,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,7/10/15 19:58,7/10/15 11:47,7/10/15 19:58,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,8/10/15 19:58,8/10/15 11:47,8/10/15 19:58,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,9/10/15 19:58,9/10/15 11:47,9/10/15 19:58,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,10/10/15 19:57,10/10/15 11:46,10/10/15 19:57,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,11/10/15 19:57,11/10/15 11:46,11/10/15 19:57,rain,1,5.59,,5.59,,,5.59,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,12/10/15 19:57,12/10/15 11:46,12/10/15 19:57,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,13/10/15 19:57,13/10/15 11:46,13/10/15 19:57,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,3/11/17 19:54,3/11/17 12:01,3/11/17 19:54,rain,1,2.6,,2.6,,,2.6,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,14/10/15 19:56,14/10/15 11:45,14/10/15 19:56,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,15/10/15 19:56,15/10/15 11:45,15/10/15 19:56,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,24/8/17 20:13,24/8/17 11:59,24/8/17 20:13,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,4/11/17 19:54,4/11/17 12:01,4/11/17 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,25/8/17 20:12,25/8/17 11:58,25/8/17 20:12,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,16/10/15 19:56,16/10/15 11:45,16/10/15 19:56,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,26/8/17 20:12,26/8/17 11:59,26/8/17 20:12,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,17/10/15 19:56,17/10/15 11:45,17/10/15 19:56,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,27/8/17 20:12,27/8/17 11:59,27/8/17 20:12,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,18/10/15 19:55,18/10/15 11:44,18/10/15 19:55,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,19/10/15 19:55,19/10/15 11:44,19/10/15 19:55,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,20/10/15 19:55,20/10/15 11:44,20/10/15 19:55,rain,1,0.51,,0.51,,,0.51,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,21/10/15 19:55,21/10/15 11:44,21/10/15 19:55,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,22/10/15 19:55,22/10/15 11:44,22/10/15 19:55,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,23/10/15 19:55,23/10/15 11:44,23/10/15 19:55,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,24/10/15 19:54,24/10/15 11:43,24/10/15 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,25/10/15 19:54,25/10/15 11:43,25/10/15 19:54,rain,1,1.27,,1.27,,,1.27,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,26/10/15 19:54,26/10/15 11:43,26/10/15 19:54,rain,1,0.51,,0.51,,,0.51,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,27/10/15 19:54,27/10/15 11:43,27/10/15 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,28/10/15 19:54,28/10/15 11:43,28/10/15 19:54,rain,1,0.77,,0.77,,,0.77,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,30/10/15 19:54,30/10/15 11:43,30/10/15 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,28/8/17 20:11,28/8/17 11:58,28/8/17 20:11,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,31/10/15 19:54,31/10/15 11:43,31/10/15 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,2/11/15 19:54,2/11/15 11:43,2/11/15 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,4/11/15 19:54,4/11/15 11:43,4/11/15 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,5/11/15 19:54,5/11/15 11:43,5/11/15 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,6/11/15 19:54,6/11/15 11:43,6/11/15 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,29/8/17 20:11,29/8/17 11:59,29/8/17 20:11,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,7/11/15 19:54,7/11/15 11:43,7/11/15 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,8/11/15 19:54,8/11/15 11:43,8/11/15 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,6/11/17 19:54,6/11/17 12:01,6/11/17 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,9/11/15 19:54,9/11/15 11:43,9/11/15 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,10/11/15 19:54,10/11/15 11:43,10/11/15 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,11/11/15 19:54,11/11/15 11:43,11/11/15 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,12/11/15 19:54,12/11/15 11:43,12/11/15 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,30/8/17 20:11,30/8/17 11:59,30/8/17 20:11,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,13/11/15 19:54,13/11/15 11:43,13/11/15 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,14/11/15 19:55,14/11/15 11:44,14/11/15 19:55,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,15/11/15 19:55,15/11/15 11:44,15/11/15 19:55,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,31/8/17 20:11,31/8/17 11:59,31/8/17 20:11,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,1/9/17 20:10,1/9/17 11:59,1/9/17 20:10,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,2/9/17 20:10,2/9/17 11:59,2/9/17 20:10,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,3/9/17 20:10,3/9/17 11:59,3/9/17 20:10,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,4/9/17 20:09,4/9/17 11:59,4/9/17 20:09,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,5/9/17 20:09,5/9/17 11:59,5/9/17 20:09,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,6/9/17 20:09,6/9/17 12:00,6/9/17 20:09,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,7/9/17 20:08,7/9/17 11:59,7/9/17 20:08,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,7/11/17 19:54,7/11/17 12:01,7/11/17 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,8/9/17 20:08,8/9/17 11:59,8/9/17 20:08,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,9/9/17 20:08,9/9/17 12:00,9/9/17 20:08,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,8/11/17 19:54,8/11/17 12:01,8/11/17 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,11/9/17 20:07,11/9/17 12:00,11/9/17 20:07,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,12/9/17 20:06,12/9/17 11:59,12/9/17 20:06,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,13/9/17 20:06,13/9/17 12:00,13/9/17 20:06,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,14/9/17 20:06,14/9/17 12:00,14/9/17 20:06,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,15/9/17 20:05,15/9/17 11:59,15/9/17 20:05,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,9/11/17 19:54,9/11/17 12:01,9/11/17 19:54,rain,1,3.3,,3.3,,,3.3,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,16/9/17 20:05,16/9/17 12:00,16/9/17 20:05,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,17/9/17 20:05,17/9/17 12:00,17/9/17 20:05,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,18/9/17 20:04,18/9/17 12:00,18/9/17 20:04,rain,1,4.9,,4.9,,,4.9,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,10/11/17 19:54,10/11/17 12:01,10/11/17 19:54,rain,1,6.2,,6.2,,,6.2,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,19/9/17 20:04,19/9/17 12:00,19/9/17 20:04,rain,1,22.3,,22.3,,,22.3,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,25/11/17 19:57,25/11/17 12:00,25/11/17 19:57,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,20/9/17 20:04,20/9/17 12:01,20/9/17 20:04,rain,1,18.5,,18.5,,,18.5,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,11/11/17 19:54,11/11/17 12:00,11/11/17 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,21/9/17 20:03,21/9/17 12:00,21/9/17 20:03,rain,1,3.9,,3.9,,,3.9,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,22/9/17 20:03,22/9/17 12:00,22/9/17 20:03,rain,1,5.1,,5.1,,,5.1,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,23/9/17 20:03,23/9/17 12:01,23/9/17 20:03,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,12/11/17 19:54,12/11/17 12:00,12/11/17 19:54,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,31/1/16 20:24,31/1/16 12:13,31/1/16 20:24,rain,1,0.26,,0.26,,,0.26,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,24/9/17 20:02,24/9/17 12:00,24/9/17 20:02,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,1/2/16 20:24,1/2/16 12:13,1/2/16 20:24,rain,1,0.76,,0.76,,,0.76,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,2/2/16 20:24,2/2/16 12:13,2/2/16 20:24,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,25/9/17 20:02,25/9/17 12:01,25/9/17 20:02,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,26/9/17 20:02,26/9/17 12:01,26/9/17 20:02,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,3/2/16 20:24,3/2/16 12:13,3/2/16 20:24,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,4/2/16 20:24,4/2/16 12:13,4/2/16 20:24,rain,1,1.02,,1.02,,,1.02,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,27/9/17 20:01,27/9/17 12:00,27/9/17 20:01,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,5/2/16 20:24,5/2/16 12:13,5/2/16 20:24,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,13/11/17 19:55,13/11/17 12:01,13/11/17 19:55,rain,1,13.1,,13.1,,,13.1,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,28/9/17 20:01,28/9/17 12:01,28/9/17 20:01,no occurrence,1,0,0,0,0,,0,,,
united states,oregon,scio,Lourdes Public Charter School,School Site:ATM-02,8294323,44.7225,-122.6898,188.3,14/11/17 19:55,14/11/17 12:01,14/11/17 19:55,rain,1,1,,1,,,1,,,
