country,state,city,School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Solar Noon At,Average Surface Temperature C,Surface Condition,Average Snow Depth Mm,Snow Depth Flag,Number Of Samples Taken,Surface Cover Type,Homogeneous Site Short Length M,Homogeneous Site Long Length M,Site Area M Squared
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,12/10/16 13:16,12/10/16 7:58,12/10/16 17:20,10.7,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,11/10/16 3:20,10/10/16 22:02,11/10/16 17:20,27.7,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,14/10/16 9:12,14/10/16 3:54,14/10/16 17:19,8.6,wet,,,5,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,24/10/16 18:26,24/10/16 13:10,24/10/16 17:17,12.7,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,24/10/16 6:00,24/10/16 0:44,24/10/16 17:17,17.7,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,31/10/16 18:00,31/10/16 12:44,31/10/16 17:17,35,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,7/11/16 19:00,7/11/16 13:44,7/11/16 17:17,72,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,18/11/16 8:54,18/11/16 3:36,18/11/16 17:18,8.2,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,28/11/16 19:00,28/11/16 13:38,28/11/16 17:21,3.8,wet,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,30/11/16 2:00,29/11/16 20:38,30/11/16 17:22,16,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,2/12/16 9:07,2/12/16 3:44,2/12/16 17:23,-5.5,dry,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,5/12/16 19:00,5/12/16 13:35,5/12/16 17:24,3,wet,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,5/1/17 13:45,5/1/17 8:05,5/1/17 17:39,-12.9,dry,,,9,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,5/1/17 9:00,5/1/17 3:20,5/1/17 17:39,-7,wet,,,1,,,,
united states,florida,green cove springs,Clay High School,Clay High School Wetlands,18534892,41.65874,-83.41415,184,9/1/17 19:04,9/1/17 13:22,9/1/17 17:40,-0.4,,,,1,,,,
