country,state,city,School Name,Site Name,Userid,Latitude,Longitude,Elevation,date,temp,Minimum Temp C,Maximum Temp C,Number Of Days Reported,Number Of Obs
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/4/14,24.1,16.3,30.4,28,28
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/6/14,26.5,21.4,33.4,24,24
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/7/14,27.9,22.2,33.6,31,31
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/8/14,28.5,21.1,32.6,31,31
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/9/14,27.3,21.2,31.8,30,30
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/10/14,25.7,19.1,32.4,28,28
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/11/14,22,10.1,28.7,25,25
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/1/15,20.3,10.6,26.4,22,22
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/2/15,18.9,4.2,29.4,24,24
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/3/15,24.8,13.4,31.9,28,28
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/4/15,27,21.2,35.6,22,22
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/5/15,27.1,19.3,32.6,27,27
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/6/15,28.7,21.9,34.1,28,28
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/7/15,29.3,21.7,35,30,30
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/8/15,29.5,23.3,33.6,28,28
united states,florida,pompano beach,Pompano Beach High School,PBHS WeatherBug,,26.23678,-80.10967,6,1/10/15,27.6,21.2,33.1,30,30
