country,state,city,School Name,Site Name,Userid,Latitude,Longitude,Elevation,date,temp,Minimum Temp C,Maximum Temp C,Number Of Days Reported,Number Of Obs
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/7/97,17.9,6,29,25,25
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/11/97,-4.3,-17,3,23,23
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/12/97,-7.5,-23,3,28,28
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/1/98,-7.7,-29.5,3,29,29
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/2/98,-13.8,-32,7,23,23
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/6/98,13.2,-0.7,25.4,27,27
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/8/98,12.8,-2,24.8,22,22
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/10/98,3.3,-7.2,10.9,23,23
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/11/98,-5.7,-17.6,3.3,25,25
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/12/98,-9.4,-26.7,5.9,23,23
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/1/99,-14,-38,2.2,25,25
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/2/99,-10.1,-29.7,2.3,22,22
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/3/99,-3.8,-19.8,9.6,28,28
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/4/99,4,-10.2,20.8,25,25
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/5/99,5.6,-7,23.6,22,22
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/6/99,16.8,2.4,29.3,27,27
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/7/99,15.9,5.3,31.5,31,31
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/8/99,11.7,0.2,22.7,23,23
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/11/99,-1.9,-11.1,7.1,24,24
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/12/99,-7.5,-21.6,11.2,30,30
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/1/00,-8.2,-27.1,3.1,31,31
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/2/00,-6.9,-22.4,3.1,29,29
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/3/00,-4,-19.7,8.3,31,31
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/4/00,3.1,-14.3,13.6,28,28
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/5/00,9.8,-4.8,25.7,29,29
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/6/00,12.8,2.1,31.3,27,27
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/7/00,17.1,5.1,30.2,30,30
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/8/00,14.2,5.6,24.2,31,31
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/9/00,9,-1.8,20.1,29,29
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/10/00,6.9,-10.3,22.4,30,30
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/11/00,1,-13.7,8.1,29,29
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/12/00,-4,-23.3,6.9,29,29
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/1/01,-5.6,-18.5,1.1,31,31
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/2/01,-12.3,-30.8,3.1,27,27
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/3/01,-8.8,-24.8,3.6,31,31
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/4/01,3.5,-10.8,20.5,30,30
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/5/01,7.1,-1.3,18.8,28,28
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/6/01,14.6,1.3,25.3,30,30
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/7/01,17.6,5.3,28.3,31,31
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/8/01,14,4.3,24.2,29,29
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/9/01,10.4,-4.9,21.3,30,30
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/10/01,4.4,-5.3,11.3,28,28
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/11/01,-4.9,-20.3,5.5,29,29
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/12/01,-11.6,-34.1,0.7,31,31
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/1/02,-10,-32.2,6.2,28,28
finland,oulu,oulu,Utajarven Ylaaste,Atmosphere:ATM-02,-1,64.7623,26.415,80,1/2/02,-5,-26.4,5.8,28,28
